id,task,goal,label
1,Transit,从海底捞坐公交,1
2,Transit,公共交通过去天安门,0
3,Transit,从贺新公园去首都图书馆、蟹岛度假村，最后去富力又一城，坐公交车的话可以怎么坐,0
4,Transit,地铁12号线洞泾镇到隆德路,0
5,Transit,三墩地铁站到百洋地铁站要坐几个站,0
6,POI,文化旅游胜地,1
7,POI,帮我找一家好吃的,0
8,POI,找一个离回龙观、望京、西三旗、西二旗都比较近的适合聚餐的饭店,0
9,POI,南京建邺区兆园附近有什么地标或商圈,0
10,POI,读书遛娃好去处,0
11,Navi,你给我规划一个,1
12,Navi,去故宫，先回家，不堵的路线有么？,0
13,Navi,下午7点一刻从科育小区去北京时代美术馆看展,顺路加个油,怎么走最近,0
14,Navi,南京东南大学中大医院步行导航,0
15,Navi,导航到附近卖那个电瓶的,0
16,Taxi,帮我叫个车,1
17,Taxi,预约个价钱在40元到60元之间的网约车去大兴机场,明天上午9点出发,0
18,Taxi,帮我打一个接单最快的一口价车，半小时后出发去将府公园,0
19,Taxi,立即打车起点故宫终点西三旗,0
20,Taxi,从人民大学打车打到西直门凯德mall接单越快越好,0

